UNDERARM,500
BEARD,500
ARMS,1000
HALF LEG,1500
FULL LEG,2000
STYLING & BARBER AFRO HAIR CUT,500
AFRO KID'S HAIR CUT,200
BEARD SHAVE,200
CAUCASIAN HAIR CUT,2000
KID'S CAUCASIAN,1000
LADIES CUT & FINISH,4000
BLOW-DRY,500
TREATMENT,2000
BLACK DYE,500
NAIL CARE,
MANICURE,1000
PEDICURE,2000
SIGNATURE MANICURE,3000
SIGNATURE PEDICURE,4000
GEL POLISH,1000
POLISH APPLICATION,300
GEL MANICURE,1800
GEL PEDICURE,2500
NAILTRIMMING & FILLING,500
