0,1
,"1,800 2,000 2,500"
1 - 10 Pax 10 - 15 15 - 20 20 - 30 30 & Above,"Kshs 5,000 Kshs 10,000 Kshs 15,000 Kshs 20,000 Kshs 25,000"
Ground charge Full Mbuzi With Accompaniment,
