,SINGLE OCCUPANCY,SINGLE OCCUPANCY,SINGLE OCCUPANCY,DOUBLE OCCUPANCY,DOUBLE OCCUPANCY,DOUBLE OCCUPANCY
ROOM CATEGORY,BB,HB,FB,BB,HB,FB
STANDARD COTTAGE,100,120,140,120,160,200
DELUXE COTTAGE,110,130,150,140,180,220
TWIN COTTAGE,,,,150,190,230
FAMILY COTTAGE,,,,300,380,460
EXECUTIVE COTTAGE,160,170,190,200,250,300
