,SINGLE OCCUPANCY,SINGLE OCCUPANCY,SINGLE OCCUPANCY,DOUBLE OCCUPANCY,DOUBLE OCCUPANCY
ROOM CATEGORY,BB,HB,FB,BB,FB
STANDARD COTTAGE,"8,500","10,500","12,500","11,000","17,000"
DELUXE COTTAGE,"9,500","11,500","13,500","12,000","18,000"
TWIN COTTAGE,,,,"12,500","20,500"
FAMILY COTTAGE,,,,"30,000","40,000"
EXECUTIVE COTTAGE,"15,000","18,000","20,000","20,000","25,000"
