RACK RATES...Room Types.,RACK RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Single.,RACK RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Twin Double.,RACK RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Triple Sharing.(Above 12 Yrs),RACK RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Child Sharing.(4-12 Yrs),RACK RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Single.,RACK RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Twin Double.,RACK RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Triple Sharing.(Above 12 Yrs),RACK RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Child Sharing.(4-12 Yrs)
Standard Rooms (USD),330,550,770,165,220,385,550,110
Deluxe Tented Cottages (USD),440,770,990,220,330,605,770,165
