TOUR OPERATOR'S & TRAVEL AGENT'S RATES...Room Types.,TOUR OPERATOR'S & TRAVEL AGENT'S RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Single.,TOUR OPERATOR'S & TRAVEL AGENT'S RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Twin Double.,TOUR OPERATOR'S & TRAVEL AGENT'S RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Triple Sharing.(Above 12 Yrs),TOUR OPERATOR'S & TRAVEL AGENT'S RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Child Sharing.(4-12 Yrs),TOUR OPERATOR'S & TRAVEL AGENT'S RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Single.,TOUR OPERATOR'S & TRAVEL AGENT'S RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Twin Double.,TOUR OPERATOR'S & TRAVEL AGENT'S RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Triple Sharing.(Above 12 Yrs),TOUR OPERATOR'S & TRAVEL AGENT'S RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Child Sharing.(4-12 Yrs)
Standard Rooms (KES),"26,400","45,100","62,700","13,200","17,600","30,800","45,100","8,800"
Deluxe Tented Cottages (KES),"35,200","62,700","80,300","17,600","26,400","49,500","62,700","13,200"
