0,1
Full Board Rates INCLUDE,"Bed, Breakfast, Lunch, Hi-Tea & Dinner Soft Drinks taken during lunch & dinner Usage of Swimming Pool, WiFi & In-house Excursion"
Full Board Rates EXCLUDE,"Game Drives (Package Available from Nairobi) Park & Conservancy Fees All additional Guest Experiences as otherwise listed Safari Shop purchases, In-Room massages, Spa Usage & Sauna Air and Road Transfers from elsewhere within the Masai Mara N.R(available upon request) Gratuities"
Check In / Check Out,Check in from 12:00 Hrs Check out by 10:00 Hrs At Mara Enkaji early check-in and late check-out subject to availability
Families & Children,Children of all ages are welcome Children under 3 years of age - Stay free of charge 4 - 12 Years Sharing with 1 or 2 adults - 50% of the per person sharing in a twin Kids sharing on own room - 75% of the room rate
