TOUR OPERATOR'S &TRAVEL AGENT'S RATES...Room Types.,TOUR OPERATOR'S &TRAVEL AGENT'S RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Single.,TOUR OPERATOR'S &TRAVEL AGENT'S RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Twin Double.,TOUR OPERATOR'S &TRAVEL AGENT'S RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Triple Sharing.(Above 12 Yrs),TOUR OPERATOR'S &TRAVEL AGENT'S RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Child Sharing.(4-12 Yrs),TOUR OPERATOR'S &TRAVEL AGENT'S RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Single.,TOUR OPERATOR'S &TRAVEL AGENT'S RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Twin Double.,TOUR OPERATOR'S &TRAVEL AGENT'S RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Triple Sharing.(Above 12 Yrs),TOUR OPERATOR'S &TRAVEL AGENT'S RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Child Sharing.(4-12 Yrs)
Standard Rooms (USD),264,440,616,132,176,308,440,88
Deluxe Tented Cottages (USD),352,616,792,176,264,484,616,132
