RACK RATES...Room Types.,RACK RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Single.,RACK RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Twin Double.,RACK RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Triple Sharing.(Above 12 Yrs),RACK RATES.HIGH SEASON.1st July 2025 to 30th Sept 2025.Child Sharing.(4-12 Yrs),RACK RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Single.,RACK RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Twin Double.,RACK RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Triple Sharing.(Above 12 Yrs),RACK RATES.GREEN SEASON.1st Jan- 30th June 2025 & 1st Oct - 31st Dec 2025.Child Sharing.(4-12 Yrs)
Standard Rooms (KES),"33,000","56,100","78,100","16,500","22,000","38,500","56,100","11,000"
Deluxe Tented Cottages (KES),"44,000","78,100","100,100","22,000","33,000","61,600","78,100","16,500"
