Room Category,Double Occupancy,Single Occupancy,Extra Adult,"Child (6-11,99)"
BUSTANI GARDEN,"28,470","21,355","9,965","7,120"
POOL SIDE,"31,790","23,840","11,125","7,950"
JUNIOR SUITE,"34,320","25,740","12,015","8,580"
BAHARI POOL,"34,965","26,225","12,240","8,740"
SEA VIEW,"36,080","27,060","12,630","9,020"
