Room Category,Double Occupancy,Single Occupancy,Extra Adult,"Child (6-11,99)"
BUSTANI GARDEN,"24,570","18,430","8,600","6,145"
POOL SIDE,"28,315","21,240","9,910","7,080"
JUNIOR SUITE,"31,825","23,870","11,140","7,960"
BAHARI POOL,"32,560","24,420","11,340","8,140"
SEA VIEW,"33,230","24,920","11,630","8,310"
