Room Category,Double Occupancy,Single Occupancy,Extra Adult,"Child (6-11,99)"
BUSTANI GARDEN,"66,500","49,875","23,275","16,625"
POOL SIDE,"71,960","53,970","25,185","17,990"
JUNIOR SUITE,"74,100","55,575","25,935","18,525"
BAHARI POOL,"79,150","59,365","27,705","19,790"
SEA VIEW,"81,710","61,280","28,600","20,430"
