,1pers,2 pers,3 pers,4 pers,Child 3-12
Double roomwith Gardenview,$ 105,$ 155,x,x,$ 49
DeluxeDouble Room,$ 112,$ 159,x,x,$ 49
Double room extra bed,$ 159,$ 159,$ 212,x,$ 49
Standard twin room,$ 105,$ 155,$208,x,$ 49
BananaPenthouseSuite,$ 239,$ 239,$ 292,x,$ 49
Wellness Penthouse Suite,$ 250,$ 250,$ 303,$ 356,$ 49
Sweet Penthouse,$ 218,$ 218,x,x,$ 49
Family room,$170,$ 170,$ 223,$ 276,$ 49
Budget singleroom,$80,x,x,x,x
StandardSingle room,$ 102,x,x,x,x
Budget Double,$ 102,$ 149,x,x,x
