,1pers,2 pers,3 pers,4 pers,Child 3-12
Double roomwith Gardenview,$ 89,$ 131,x,x,$ 41
DeluxeDouble Room,$ 95,$ 135,x,x,$ 41
Double room extra bed,$ 135,$ 135,$ 180,x,$ 41
Standard twin room,$ 89,$ 131,$ 176,x,$ 41
BananaPenthouseSuite,$ 203,$ 203,$ 248,x,$ 41
Wellness Penthouse Suite,$ 212,$ 212,$ 257,$ 302,$ 41
Sweet Penthouse,$ 185,$ 185,x,x,$ 41
Family room,$144,$ 144,$ 189,$ 234,$ 41
Budget single room,$ 68,x,x,x,x
StandardSingleroom,$ 86,x,x,x,x
Budget Double,$ 86,$ 126,x,x,x
