Taita Hills Wildlife Sanctuary Vehicle Entry Fees,Taita Hills Wildlife Sanctuary Vehicle Entry Fees
Vehicle Capacity,USD$ Per Vehicle per night
4-12 Seats,$5
13-24 Seats,$10
25-44 Seats,$15
45+ Seats,$20
Aircraft,$20
Helicopter Landing,$20
