ROOM CATEGORY,RATE PER PERSON SHARING.BB,RATE PER PERSON SHARING.HB,RATE PER PERSON SHARING.FB,SINGLE OCCUPANCY RATE PER PERSON SHARING.BB,SINGLE OCCUPANCY RATE PER PERSON SHARING.HB,SINGLE OCCUPANCY RATE PER PERSON SHARING.FB
STANDARDROOM,,"11,000",13000,,"12,000","14,500"
DELUXEROOM,,"12,500","14,500",,"14,000","16,500"
PENTHOUSESUITE,,"16,000","18,000",,"18,000","20,500"
TWOBEDROOMOCEAN VIEWSUITE,,"14,000","16,000",,,
EXECUTIVETHREEBEDROOM BEACHVIEWSUIT,,"16,000","18,000",,,
