ROOM CATEGORY,DOUBLE.BB,DOUBLE.HB,DOUBLE.FB,,SINGLE.BB,SINGLE.HB,SINGLE.FB
STANDARDROOMGARDENVIEW,"1,1000","1,3000","16,000",,"6,000","7,500","9,500"
DELUXEROOMGARDENVIEW,"12,000","15,000","18,000",,"8,000","9,500","11,000"
ONEBEDROOMGARDENVIEW,"13,000","17,000","20,000",,"10,000","11,500","13,000"
PENTHOUSESUITE,"20,000","23,000","26,000",,"12,000","13,500","15,000"
,RATE PER PERSON SHARING,RATE PER PERSON SHARING,RATE PER PERSON SHARING,SINGLE OCCUPANCY,SINGLE OCCUPANCY,SINGLE OCCUPANCY,SINGLE OCCUPANCY
TWOBEDROOMOCEAN VIEWSUITE,"6,500","8,500","10,500",,,,
EXECUTIVETHREEBEDROOM BEACHVIEWSUIT,"7,500","9,500","11,500",,,,
