0,1,2,3,4,5
C OCKTAIL PAR TIES,C OCKTAIL PAR TIES,C OCKTAIL PAR TIES,"2,500PP",SWIMMING,1000
EXECUTIVEBO ARD ROOM,EXECUTIVEBO ARD ROOM,EXECUTIVEBO ARD ROOM,,ADULT KIDS,500
with enhaced tea snacks,with enhaced tea snacks,with enhaced tea snacks,"2,500PP",,"3,000PP"
BI RTHDAYPA RTIES,BI RTHDAYPA RTIES,"3,000PP","3,000PP",WEDDINGS CAKES perKG,"2,500"
1- PHOTOSHOO 10P T ax,"10,000",1-15pax,"VIDEOSHOOTEXTERNAL 25,000",VANILLA BLACKFOREST RED VELVET,"4,000 3,500"
10-30 P ax,"15,000",,,FRUITCAKE,"3,500"
