RACKRATES.,RACKRATES.Double,RACKRATES.Single,RACKRATES.Triple,CONTRACT RATES.Double,CONTRACT RATES.Single,CONTRACT RATES.Triple
Peak,$505,$335,$690,$420,$280,$575
High,$290,$180,$395,$240,$150,$330
Low,$210,$145,$290,$180,$120,$260
