New Years - 31st Dec 2024.Manyatta Camp,New Years - 31st Dec 2024.Single,New Years - 31st Dec 2024.Per Person Sharing,New Years - 31st Dec 2024.Child Sharing 50% of adult,New Years - 31st Dec 2024.Child In Own Tent 75% of
Full Board,150,115,58,87
Half Board,140,105,53,79
Bed &Breakfast,135,100,50,75
