PACKAGE,NETT RATES,NETT RATES,NETT RATES,RACK RATES,RACK RATES,RACK RATES
SEASONS,PER ADULT SHARING,SINGLE PERSON,CHILD 04 -11YRS SHARING,PER ADULT SHARING,SINGLE PERSON,CHILD 04 - 11YRS SHARING
Low Season,350,410,195,460,520,255
Mid Season,400,460,220,525,585,290
High Season,470,530,260,610,670,335
