BANK NAME:,DIAMOND TRUST BANK
BRANCH:,KAREN
ACCOUNT NAME:,LOYK ECO CAMPING LIMITED
0453843003,ACCOUNT NO:
BRANCH CODE 63031,
SWIFT CODE:,DTKEKENAXXX
