HIGH SEASON,%AMOUNT OF THE INVOICE PAYABLE
01 - 14 Days,100%
15 - 30 Days,50%
31 - 60 Days,30%
LOW SEASON,%AMOUNT OF THE INVOICE PAYABLE
01 - 07 Days,100%
08 - 14 Days,50%
