0,1,2,3,4
US$ / PPPN Suite / Family Cottage,MID SEASON 6 Jan - 31 March 1 - 30 June 1 - 20 Dec,LOWSEASON 1 April - 31 May 1 - 30 Nov (Easter Dates - 3 night min.),HIGH SEASON 1 July - 30 Sep 1 - 31 Oct 21 Dec 2025 - 5 Jan 2026 (2 night min. stay),CON. FEES
FAMILY ROOM (Cottage 8) Full Board,US$ 460,US$ 310,US$ 599,US$ 35
FAMILY ROOM (Cottage 8) All Inclusive,US$ 716,US$ 567,US$ 861,US$ 35
SUITE Full Board,US$ 616,US$ 414,US$ 868,US$ 35
SUITE All Inclusive,US$ 850,US$ 650,"UD$ 1,102",US$ 35
Single Supplement,US$ 200,US$ 200,US$ 200,
Children 3-12 yrs.,Sharing - 50% Own Room - 75%,Sharing - 50% Own Room - 75%,Sharing - 50% Own Room - 75%,US$ 17
