0,1,2,3,4
US$ / PPPN Standard Cottages,MID SEASON 6 Jan - 31 March 1 - 30 June 1 - 20 Dec,LOWSEASON 1 April - 31 May 1 - 30 Nov (Easter Dates 3 night min. stay),HIGH SEASON 1 July - 30 Sep 1 - 31 Oct 21 Dec 2025 - 5 Jan 2026 (2 night min. stay),CON. FEES
Full Board,US$ 438,US$ 294,UD$ 572,US$ 35
All Inclusive,US$ 684,US$ 540,UD$ 818,US$ 35
Single Supplement - * maximum 3 singles per group from the 4th single we charge double room rate*,US$ 107,US$ 64,US$ 165,
3rd adult sharing,85%,85%,85%,US$ 35
Children 3-12 yrs.,Sharing - 50% Own Room - 75%,Sharing - 50% Own Room - 75%,Sharing - 50% Own Room - 75%,US$ 17
