ROOMTYPE,B/B.SINGLE,B/B.DOUBLE,B/B.TWIN,H/B.SINGLE,H/B.DOUBLE,H/B.TWIN,F/B.SINGLE,F/B.DOUBLE,F/B.TWIN
DELUXE,"5,400","9,000","9,000","6,300","10,800","10,800","7,200","12,600","12,600"
PANORAMIC,"6,750","10,800",N/A,"7,650","12,600",N/A,"8,550","14,400",N/A
