ROOMTYPE,"TRIPLE (3PAX) , FAMILY SUITE (2PAX+3KIDS below 12yrs).B/O","TRIPLE (3PAX) , FAMILY SUITE (2PAX+3KIDS below 12yrs).B/B","TRIPLE (3PAX) , FAMILY SUITE (2PAX+3KIDS below 12yrs).H/B","TRIPLE (3PAX) , FAMILY SUITE (2PAX+3KIDS below 12yrs).F/B"
TRIPLE DELUXE,N/A,"13,050","15,750","18,450"
FAMILY SUITE DLX,N/A,"18,450","22,140","25,740"
