,3 Adults,4 Adults,5 Adults,6 Adults,7 Adult,8 Adults
Breakfast,US$654,US$675,US$760,US$847,US$920,US$990
Half Board,US$771,US$831,US$895,US$1080,US$1192,US$1301
Full Board,US$868,US$960,US$1117,US$1274,US$1419,US$1561
