0,1,2,3,4,5
Season,Non -resident (pppn),Non- Resident TO Rate (-15%),Resident (pppn),Resident TO Rate (-15%),Children (below 12 yrs)
High Season (Jul - Dec),$350,$300,$250,$200,50% of adult rate
Low Season (Jan - Jun),$300,$255,$200,$150,50% of adult rate
