0,1,2,3,4,5
SEASON,TYPE OF ROOM,MEAL PLAN,SINGLE,DOUBLE,TRIPLE
LOW SEASON,LUXURIUS TENT,FULL BOARD,17000,23000,30000
,LUXURIUS TENT,ALL INCLUSIVE,19000,26000,35000
PEAK SEASON,LUXURIUS TENT,FULL BOARD,25000,35000,45000
,LUXURIUS TENT,ALL INCLUSIVE,27000,39000,50000
