ROOMTYPE.Meal,SINGLE.BB,SINGLE.HB,SINGLE.FB,DOUBLE.BB,DOUBLE.HB,DOUBLE.FB
DeluxeRoom,16500,19500,22500,21500,27000,32500
Superior Suite,21500,25000,28000,26500,32000,37500
Execu ti ve Suite,31500,35000,38000,41500,47000,52500
Family Cottage,Up to 4Pax,Up to 4Pax,Up to 4Pax,43000,54000,65000
