25th August to 20th December 2025/ 05th Jan-31st March 2026.,25th August to 20th December 2025/ 05th Jan-31st March 2026.BB,25th August to 20th December 2025/ 05th Jan-31st March 2026.HB,25th August to 20th December 2025/ 05th Jan-31st March 2026.FB,21st Dec-04th Jan 2026 (Min 4 nights).HB,21st Dec-04th Jan 2026 (Min 4 nights).FB
SINGLE,"9,000","11,000","13,000","26,000","30,000"
DOUBLE,"12,000","14,000","16,000","35,000","39,000"
EXTRA ADULT,"6,000","8,000","10,000","12,000","15,000"
4-11 YEARS,"5,000","6,000","7,000","8,000","10,000"
0-3 YEARS,FREE,FREE,FREE,FREE,FREE
