PERIOD,22DEC24 04JAN25,05JAN25 21APR25,22APR25 30JUN25,01JUL25 21DEC25
SINGLE,$ 194,$ 163,$ 92,$ 163
½TWIN,$ 128,$ 109,$92,$ 109
3 RD ADULT,$ 102,$ 87,$ 73,$ 87
CHILD,,,,
2 to 12 Yrs (0 to 2 yrs FREE) (Sharing with 2 Adults),$ 64,$54,$ 46,$ 54
LUNCH,$ 41,$ 41,$ 41,$ 41
NIGHT GAMEDRIVE,$ 22,$ 22,$ 22,$ 22
CANCELLATION/NOSHOW,CANCELLATION/NOSHOW,3 days,40%,40%
,,24 hours,100%,100%
