Rates are valid from 6 th January 2025 until 5 th January 2026 (per person per night).(20 th,Rates are valid from 6 th January 2025 until 5 th January 2026 (per person per night).Christmas & New Year December - 5 th January),"Rates are valid from 6 th January 2025 until 5 th January 2026 (per person per night).Premium Season (July, August, September)","Rates are valid from 6 th January 2025 until 5 th January 2026 (per person per night).Regular Season (6 th January - 30 th April, June, Oct, Nov, 1 st - 19 th December)","Rates are valid from 6 th January 2025 until 5 th January 2026 (per person per night).Regular Season (6 th January - 30 th April, June, Oct, Nov, 1 st - 19 th December)"
Garden Villa,2-4 PAX $695,Garden Villa,2-4 PAX $530,2-4 PAX $380
Garden Villa,5-6 PAX $595,Garden Villa,5-6 PAX $470,5-6 PAX $350
