RACKRATES.,RACKRATES.Per person Sharing,RACKRATES.Single Supplement,CONTRACT RATES.Per person sharing,CONTRACT RATES.Single Supplement
Peak,"Kes.40,200","Kes.7,800","Kes.33,500","Kes.6,500"
High,"Kes.39,200","Kes.4,800","Kes.28,750","Kes.4,000"
Low,"Kes.32,650","Kes.3,500","Kes.27,200","Kes.2,500"
