RACKRATES.,RACKRATES.Double,RACKRATES.Single,RACKRATES.Triple,CONTRACT RATES.Double,CONTRACT RATES.Single,CONTRACT RATES.Triple
Peak,"Kes.31,800","Kes.26,500","Kes.44,300","Kes.26,500","Kes.19,500","Kes.36,900"
High,"Kes.20,500","Kes.15,000","Kes.28,200","Kes.17,000","Kes.12,500","Kes.23,500"
Low,"Kes.16,000","Kes.11,000","Kes.24,000","Kes.13,500","Kes.9,000","Kes.20,000"
