0,1
Peak Season (%) Amount of the Invoice payable,Mid-Season (%) Amount of the Invoice payable
0 to 14 days - 100%,0 to 7 days - 100%
15 to 30 days - 50%,8 to 14 days - 50%
31 to 55 days - 30%,15 to 35 days - 30%
