Room Category,Double Occupancy,Single Occupancy,Extra Adult,"Child (6-11,99)"
BUSTANI GARDEN,"32,760","24,570","11,470","8,190"
POOL SIDE,"37,755","28,315","13,215","9,440"
JUNIOR SUITE,"42,435","31,825","14,850","10,610"
BAHARI POOL,"43,415","32,560","15,195","10,855"
SEA VIEW,"44,305","33,230","15,510","11,080"
