Room Category,Double Occupancy,Single Occupancy,Extra Adult,"Child (6-11,99)"
BUSTANI GARDEN,"37,960","28,470","13,290","9,490"
POOL SIDE,"42,380","31,785","14,835","10,595"
JUNIOR SUITE,"45,760","34,320","16,020","11,440"
BAHARI POOL,"46,620","34,970","16,320","11,655"
SEA VIEW,"48,100","36,075","16,835","12,025"
