,1pers,2 pers,3 pers,4 pers,Child 3-12
Double roomwith Gardenview,"KES 13,700","KES 20,200",x,x,"KES 6,500"
DeluxeDouble Room,"KES 14,300","KES 20,900",,,
Double room extra bed,"KES 20,900","KES 20,900","KES 28,100",x,"KES 6,500"
Standard twin room,"KES 13,700","KES 20,200","KES 27,400",x,"KES 6,500"
BananaPenthouseSuite,"KES 31,700","KES 31,700","KES 38,900",x,"KES 6,500"
Wellness Penthouse Suite,"KES 33,200","KES 33,200","KES 40,400","KES 47,600","KES 6,500"
Sweet Penthouse,"KES 28,900","KES 28,900",x,x,"KES 6,500"
Family room,"KES 22,400","KES 22,400","KES 29,600","KES 36,700","KES 6,500"
Budget single room,"KES 10,100",x,x,,x
StandardSingleroom,"KES 13,000",,,,
Budget Double,"KES 13,000","KES 19,500",x,x,x
