23rd December 2024 - 1st January 2025.Meal Plan,23rd December 2024 - 1st January 2025.BB,23rd December 2024 - 1st January 2025.HB,23rd December 2024 - 1st January 2025.FB
Single Room,"18,200","21,100","24,000"
Twin Room,"22,000","27,700","33,500"
Third Bed,"8,400","11,000","13,800"
Child U12,"5,500","6,925","8,375"
