1st November 2024 - 22nd December 2024.Meal Plan,1st November 2024 - 22nd December 2024.BB,1st November 2024 - 22nd December 2024.HB,1st November 2024 - 22nd December 2024.FB
Single Room,"14,000","16,200","18,400"
Twin Room,"16,900","21,300","25,700"
Third Bed,"6,400","8,400","10,600"
Child U12,"4,225","5,325","6,425"
