2nd January 2025 - 30th April 2025.Meal Plan,2nd January 2025 - 30th April 2025.BB,2nd January 2025 - 30th April 2025.HB,2nd January 2025 - 30th April 2025.FB
Single Room,"14,000","16,200","18,400"
Twin Room,"16,900","21,300","25,700"
Third Bed,"6,400","8,400","10,600"
Child U12,"4,225","5,325","6,425"
