Validity,High/Peak Season 20 th Dec 2025 - 5 th Jan 2026 1 st Jun 2025 - 15 th Oct 2025,Shoulder/Low Season 6 th Jan - 31 st May 2025 16 th Oct - 19 th Dec 2025
Per person sharing,"$1,600","$1,000"
Single room,"$1,850","$1,250"
Children 6 - 12 Years in own room,"$1,057",$714
Children 6 - 12 years sharing with adults,$925,$625
Guide/Pilot,$500,$500
Honey moon supplement/Family Suite,$1000 (Per room per night),$1000 (per room per night)
JW Marriott Masai Mara foundation fees,$15,$15
