Rate per person per night,Conservancy Fee*,Rack Rate,Total Rack,Nett 10%,Total Nett Rate
Adult (Age 16+),"Ksh2,000","Ksh 23,000","Ksh25,000","Ksh 20,700","Ksh22,700"
Child (11-15 years),"Ksh1,800","Ksh 16,200","Ksh18,000","Ksh 14,580","Ksh16,380"
Child (4-10 years,"Ksh1,000","Ksh 11,500","Ksh12,500","Ksh 10,350","Ksh11,350"
