,BB,HB,FB
Single,"49,000","54,000","60,000"
Double,"63,000","71,000","78,000"
Children inOwnRoom,"36,750","42,750","48,750"
Children (6-11yrs) -,"12,000","18,000","24,000"
sharing with Adult Additional Bed,"20,000","26,000","32,000"
