,BB,HB,FB
Single,"20,450","23,450","27,450"
Double,"29,440","35,440","41,440"
Children inOwnRoom,"15,340","18,340","21,310"
Children (6-11yrs) -,"4,000","7,000","10,000"
Additional Bed,"9,000","12,000","15,000"
