,BB,HB,FB
Single,"18,700","21,700","24,700"
Double,"27,500","33,500","39,500"
Children inOwnRoom,"14,025","16,910","19,910"
Children (6-11yrs) -,"4,000","7,000","10,000"
Additional Bed,"9,000","12,000","15,000"
