,BB,HB,FB
Single,"39,420","42,420","45,420"
Double,"53,500","59,500","65,500"
Children inOwnRoom,"29,565","32,700","35,700"
Children (6-11yrs) -,"4,000","7,000","10,000"
Additional Bed,"9,000","12,000","15,000"
