HIGH SEASON 01 Jun - 30 Jun 2025 | 16 Sep,RACK - PER NIGHT,STO 25%
Per person sharing,$ 1 491,$ 1 119
Single Room,$ 1 789,$ 1 342
Child sharing 6-17 yrs,$ 1 119,$840
Child in third bed 6-12 yrs,$ 747,$ 561
Honeymoon Tent (2 guests),$ 3 278,$ 2 459
Family Tent (4 guests),$ 5 419,$ 4 065
