0,1,2
High Season : 10th June 2025 - 15th October 2025 20th December 2025 - 5th January 2025 Low Season: 6th January 2025 - 9th June 2025 and,High Season : 10th June 2025 - 15th October 2025 20th December 2025 - 5th January 2025 Low Season: 6th January 2025 - 9th June 2025 and,High Season : 10th June 2025 - 15th October 2025 20th December 2025 - 5th January 2025 Low Season: 6th January 2025 - 9th June 2025 and
,RACK RATES ( USD,NON-RESIDENT
PER PERSON SHARING,650,475
EXTRA BED,400,300
CHILD (0 - 6 Sharing with Adult),250,150
SINGLE OCCUPANCY,850,700
