Room Categories,Spring Season 1 st April 31 st May,Regular Season,Festive Season 25Dec - 5 Jan*
Sea Breeze Room,32000,40000,60000
Ocean View Suite,50000,58000,78000
Beach Cottage,50000,62000,95000
Family OV Suite* ( Based on 4 Pax Occupancy),65000,75000,100000
Rack Rates in KES per VILLA per night on Half Board Price valid from 1 st November 2024 until 31 st October 2025,Rack Rates in KES per VILLA per night on Half Board Price valid from 1 st November 2024 until 31 st October 2025,Rack Rates in KES per VILLA per night on Half Board Price valid from 1 st November 2024 until 31 st October 2025,Rack Rates in KES per VILLA per night on Half Board Price valid from 1 st November 2024 until 31 st October 2025
Nomad Private Villa ( Based on 6 Pax Occupancy) Extra Adult Extra Kid 12-17,180000 20000,240000 30000 11000,350000 45000 25000
,11000,,
Extra Kid 3-11,7000,7000,12000
