Accommodation Type,Residents Rate,Non- Residents Rate,Inclusions
Luxury Cottages,"Ksh 25,000","Ksh 30,000","by the riverbank, Swimming, Riverside bonfire dinner, Indoor games &Kids"
Budget Rooms,"Ksh 12,500","Ksh 17,500","by the riverbank, Swimming, Riverside bonfire dinner, Indoor games &Kids"
Camping Grounds,"Ksh 3,500","Ksh 5,000","Swimming, Bonfire (meals not included unless pre-arranged at an added cost)"
