Rates are valid from 6 th January 2024 until 5 th January 2025 (per person per night).Christmas & New Year (20 th December - 5 th January 2025),Rates are valid from 6 th January 2024 until 5 th January 2025 (per person per night).Christmas & New Year (20 th December - 5 th January 2025),"Rates are valid from 6 th January 2024 until 5 th January 2025 (per person per night).Premium Season (July, August, September)","Rates are valid from 6 th January 2024 until 5 th January 2025 (per person per night).Premium Season (July, August, September)","Rates are valid from 6 th January 2024 until 5 th January 2025 (per person per night).Regular Season (6 th January - 30 th April, June, Oct, Nov, 1 st December)","Rates are valid from 6 th January 2024 until 5 th January 2025 (per person per night).Regular Season (6 th January - 30 th April, June, Oct, Nov, 1 st December)"
Residence Villa,$645 2-4 PAX,Residence Villa,$605 2-4 PAX,Residence Villa,$410 2-4 PAX
Residence Villas,$555 5-6 PAX,Residence Villa,$520 5-6 PAX,Residence Villa,$365 5-6 PAX
