,,2025 RACK RATES.HIGH SEASON,2025 RACK RATES.PEAK SEASON,2025 STO RATE (25%).HIGH SEASON,2025 STO RATE (25%).PEAK SEASON
,Single,$135,$156,$102,$117
Bed & Breakfast,Sharing PP,$90,$105,$68,$78
,Child (3 - 12 Years),$45,$52,$34,$39
,Single,$166,$193,$125,$145
Half Board,Sharing PP,$121,$142,$91,$107
,Child (3 - 12 Years),$60,$71,$45,$53
,Single,$190,$217,$143,$163
Full Board,Sharing PP,$145,$166,$109,$125
,Child (3 - 12 Years),$72,$83,$54,$62
