,2025 RACK RATES.,2025 RACK RATES.HIGH SEASON,2025 RACK RATES.PEAK SEASON,2025 STO RATE (25%).HIGH SEASON,2025 STO RATE (25%).PEAK SEASON
Bed & Breakfast,Single,$194,$224,$145,$168
,Sharing PP,$130,$150,$97,$112
Half Board,Single,$225,$261,$168,$196
,Sharing PP,$160,$187,$120,$140
Full Board,Single,$249,$285,$186,$214
,Sharing PP,$184,$211,$138,$158
