,2025 RACK RATES.,2025 RACK RATES.HIGH SEASON,2025 RACK RATES.PEAK SEASON,2025 STO RATE (25%).HIGH SEASON,2025 STO RATE (25%).PEAK SEASON
Bed & Breakfast,Single,$204,$236,$153,$177
,Sharing PP,$136,$157,$102,$118
Half Board,Single,$235,$274,$176,$205
,Sharing PP,$167,$195,$125,$146
Full Board,Single,$259,$298,$194,$223
,Sharing PP,$191,$219,$143,$164
