,,2025 RACK RATES.HIGH SEASON,2025 RACK RATES.PEAK SEASON,2025 STO RATE (25%).HIGH SEASON,2025 STO RATE (25%).PEAK SEASON
,Single,$138,$174,$104,$130
Bed & Breakfast,Sharing PP,$95,$118,$71,$89
,Child (3 - 12 Years),$48,$59,$36,$44
,Single,$169,$211,$127,$158
Half Board,Sharing PP,$126,$156,$94,$117
,Child (3 - 12 Years),$63,$78,$47,$58
,Single,$193,$285,$145,$214
Full Board,Sharing PP,$150,$180,$112,$135
,Child (3 - 12 Years),$75,$90,$56,$67
