NON-RESIDENT RACK RATES GAME PACKAGE,GREEN SEASON 3 Feb - 15 Jun 16 Oct - 21 Dec 2025,MIGRATION SEASON 16 Jun - 15 Oct,FESTIVE SEASON 22 Dec - 5 Jan 2026
RIVER SUITE (per person sharing),"US$1,500","US$2,450","US$2,050"
RIVER SUITE SINGLE,"US$1,895","US$3,680","US$2,960"
FAMILY SUITE (up to 4 adults),"US$4,850per suite","US$8,220per suite","US$6,870per suite"
VILLA SUITE (up to 4 adults),"US$6,580per suite","US$10,920per suite","US$8,970per suite"
STARBED (Supplement),US$500,US$700,US$600
