0,1
VISIT TO HELLS GATE,Yes - At an extra cost
GOLFING AT GREEN PARK,Yes - At an extra cost
SPA,Yes - Massage and pampering
CHILDREN SAFARIS,Yes - children's activities available
VISIT TO EBURRU FOREST,Yes - Perfect for nature walks and birdwatching
PHOTOGRAPHIC TRIPS,Yes - Best for first and last leg of the trip
