0,1
PRIVATE VEHICLES,Yes - subject to availability
4x4 POLICY,"2 open cars 8 seaters, 5 closed cars 6- 8 seaters"
LAKE NAKURU NATIONAL PARK,Yes - At an extra cost
HORSE RIDING,Yes - At Sanctuary farm at an extra cost
VISIT TO LAKE ELEMENTAITA,Yes - At an extra cost
HIKING AT MT. LONGONOT,Yes - At an extra cost
COMMUNITY,Yes - School visits
VISIT TO CRESCENT ISLAND,Yes - At an extra cost
