0,1,2,3
WEATHER,"The climate is warm and temperate, with significant amount of rainfall in the year. The nights tend to be quite cold. The temperature averages 16.5° C / 62.2° F,","The climate is warm and temperate, with significant amount of rainfall in the year. The nights tend to be quite cold. The temperature averages 16.5° C / 62.2° F,","The climate is warm and temperate, with significant amount of rainfall in the year. The nights tend to be quite cold. The temperature averages 16.5° C / 62.2° F,"
RAINFALL,The average annual rainfall is 1244mm / 49 inches,The average annual rainfall is 1244mm / 49 inches,The average annual rainfall is 1244mm / 49 inches
TEMPERATURE,January - March April - June July - September October - December,Average Day 18.3° C Average Day 16.5° C Average Day 15.5° C Average Day 16.9° C,Average Night 12.8° C Average Night 13.1° C Average Night 11.5° C Average Night 12.7° C
GPS COORDINATES,Chui Lodge,0 ° 50'38.9' S,36° 14' 19.5' E
MALARIA,Protection recommended seek advice from your doctor before travel,Protection recommended seek advice from your doctor before travel,Protection recommended seek advice from your doctor before travel
YELLOW FEVER,Certificate is required and guests are asked to present this upon entry,Certificate is required and guests are asked to present this upon entry,Certificate is required and guests are asked to present this upon entry
CURRENCY,KES USD,KES USD,KES USD
TRAVEL VISA,"Visa is a requirement for entry into Kenya, please apply for one online on evisa.go.ke.","Visa is a requirement for entry into Kenya, please apply for one online on evisa.go.ke.","Visa is a requirement for entry into Kenya, please apply for one online on evisa.go.ke."
GIVING BACK,GIVING BACK,GIVING BACK,GIVING BACK
