EASTER SEASON,ROOM TYPE,NET RACK RATES Residents,AGENT RATES Residents,NET RACK RATES Non-Residents
Bed & Breakfast,Deluxe Single,"KES 9,000","KES 8,000",110 USD
Bed & Breakfast,Deluxe Double/Twin,"KES 12,000","KES 10,000",120 USD
Half Board,Deluxe Single,"KES 12,000","KES 10,000",125 USD
Half Board,Deluxe Double/Twin,"KES 14,000","KES 12,000",135 USD
Full Board,Deluxe Single,"KES 13,000","KES 11,000",140 USD
Full Board,Deluxe Double/Twin,"KES 15,000","KES 13,000",150 USD
