BASIS,ROOM TYPE,RACK RATE,AGENT NET RATE
Deluxe Single Deluxe,"KES 10,000","KES 9,000",Bed& Breakfast
Deluxe Single Deluxe,Double/Twin,"KES 12,000","KES 11,000"
Deluxe Single Deluxe,Triple,,"KES 13,000"
Deluxe Single,"KES 12,000","KES 11,000",
Deluxe Single,Deluxe Double/Twin,"KES 14,000 KES 13,000",Half Board
Deluxe Single,Triple,,"KES 14,000"
Deluxe Single,"KES 14,000","KES 13,000",Full Board
Deluxe Double/Twin,"KES 16,000",,"KES 14,000"
Triple,,,"KES 15,000"
